positionType,publishTime,peopleNum,positionlink,positionname,workLocation
技术类,2019-03-13,1,position_detail.php?id=48402&keywords=&tid=0&lid=0,PCG04-后台开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48403&keywords=&tid=0&lid=0,31506-知识图谱前端开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48404&keywords=&tid=0&lid=0,TME-QQ音乐平台产品策划,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48405&keywords=&tid=0&lid=0,15569-魂斗罗手游高级系统策划（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48406&keywords=&tid=0&lid=0,15569-魂斗罗手游高级数值策划（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48407&keywords=&tid=0&lid=0,15569-魂斗罗手游世界观策划（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48396&keywords=&tid=0&lid=0,CSIG16-车联网运营项目经理（上海）,上海
产品/项目类,2019-03-13,1,position_detail.php?id=48397&keywords=&tid=0&lid=0,24548-综艺商业制片人,北京
技术类,2019-03-13,1,position_detail.php?id=48398&keywords=&tid=0&lid=0,CSIG16-车联网架构师（深圳）,深圳
市场类,2019-03-13,1,position_detail.php?id=48399&keywords=&tid=0&lid=0,16078-金融行业商务拓展经理（北京）,北京
设计类,2019-03-13,1,position_detail.php?id=48400&keywords=&tid=0&lid=0,PCG19-腾讯视频app交互设计师,深圳
技术类,2019-03-13,1,position_detail.php?id=48401&keywords=&tid=0&lid=0,PCG04-腾讯PCG研发部架构师（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48391&keywords=&tid=0&lid=0,21557-音视频实验室高级产品经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48392&keywords=&tid=0&lid=0,CSIG15-自然语言处理工程师（北京）,北京
技术类,2019-03-13,1,position_detail.php?id=48393&keywords=&tid=0&lid=0,CSIG16-车联网系统工程师（自研基础产品运维负责人）（上海）,上海
技术类,2019-03-13,1,position_detail.php?id=48394&keywords=&tid=0&lid=0,CSIG16-车联网IT运维经理（上海）,上海
产品/项目类,2019-03-13,1,position_detail.php?id=48395&keywords=&tid=0&lid=0,CSIG16-车联网产品运营经理（上海）,上海
市场类,2019-03-13,1,position_detail.php?id=48385&keywords=&tid=0&lid=0,WXG09-321 高级商务经理,广州
市场类,2019-03-13,1,position_detail.php?id=48387&keywords=&tid=0&lid=0,16810-动漫版权商业化经理 ,北京
市场类,2019-03-13,1,position_detail.php?id=48388&keywords=&tid=0&lid=0,29300-动漫商务拓展经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48390&keywords=&tid=0&lid=0,CSIG17-云行业产品测试leader,深圳
技术类,2019-03-13,2,position_detail.php?id=48384&keywords=&tid=0&lid=0,15575-《王者荣耀》图形渲染开发工程师（成都）,成都
